Date,day,OpenPrice,ClosePrice,DayHigh,DayLow,Volume
4/10/2019,175,86.3010025,86.98249817,87.02899933,85.96150208,49438000
7/10/2019,176,86.58149719,86.63300323,87.39150238,86.18499756,43094000
8/10/2019,177,86.12449646,85.27549744,86.34999847,85.25,50840000
9/10/2019,178,85.98049927,86.09950256,86.49749756,85.71800232,40870000
10/10/2019,179,86.26200104,86.01300049,86.91449738,85.6875,51504000
11/10/2019,180,87.14600372,86.59600067,87.27249908,86.49299622,65100000
14/10/2019,181,86.44550323,86.82150269,87.09449768,86.09999847,38204000
15/10/2019,182,87.10700226,88.3690033,88.82250214,87.03099823,62234000
16/10/2019,183,88.66649628,88.87149811,89.31199646,88.52600098,55268000
17/10/2019,184,89.82450104,89.37400055,89.94249725,89.10099792,52948000
18/10/2019,185,89.38999939,87.87550354,89.6989975,87.45999908,67250000
21/10/2019,186,88.48300171,89.28299713,89.29399872,88.25,42608000
22/10/2019,187,89.40750122,88.28649902,89.48899841,88.09999847,42234000
23/10/2019,188,88.06500244,88.10849762,88.50250244,87.09999847,42764000
24/10/2019,189,88.55449677,89.03900146,89.41699982,88.0134964,88922000
25/10/2019,190,84.87750244,88.0664978,88.21050262,84.75,192528000
28/10/2019,191,87.40299988,88.85399628,88.93499756,87.125,74178000
29/10/2019,192,88.7405014,88.13549805,88.84999847,87.79049683,45538000
30/10/2019,193,88.01200104,88.99949646,89.1190033,87.95600128,48988000
31/10/2019,194,88.79949951,88.83300018,89.59999847,88.5739975,55624000
1/11/2019,195,89.40049744,89.5719986,89.87249756,89.26049805,55808000
4/11/2019,196,90.05049896,90.23300171,90.75299835,90.05049896,55438000
5/11/2019,197,90.45800018,90.08550262,90.51249695,89.69999695,37710000
6/11/2019,198,90.05000305,89.78849792,90.125,89.42900085,40596000
7/11/2019,199,90.18800354,89.41000366,90.29499817,89.1740036,53022000
8/11/2019,200,89.39450073,89.29399872,89.4940033,88.70200348,42466000
11/11/2019,201,88.90000153,88.58249664,89,88.35649872,38920000
12/11/2019,202,88.73300171,88.90000153,89.31099701,88.59549713,40752000
13/11/2019,203,88.66950226,87.65550232,88.75,87.36599731,59790000
14/11/2019,204,87.57150269,87.73000336,88.32949829,87.47799683,45296000
15/11/2019,205,88.00250244,86.97450256,88.08399963,86.64299774,78552000
18/11/2019,206,86.91500092,87.62650299,87.68499756,86.13549805,56790000
19/11/2019,207,87.84950256,87.63950348,88.03399658,87.15149689,45416000
20/11/2019,208,87.45700073,87.27649689,88.12599945,86.70600128,55800000
21/11/2019,209,87.15000153,86.73549652,87.34349823,86.51799774,53258000
22/11/2019,210,86.9509964,87.28600311,87.32150269,86.55000305,49582000
25/11/2019,211,87.66249847,88.69200134,88.8710022,87.66200256,69724000
26/11/2019,212,88.9960022,89.84700012,89.85150146,88.91750336,63624000
27/11/2019,213,90.05000305,90.92549896,91.22499847,89.8655014,60512000
29/11/2019,214,90.88899994,90.04000092,91.23449707,90.03949738,38468000
2/12/2019,215,90.22000122,89.08000183,90.27749634,88.13400269,78512000
3/12/2019,216,88,88.4980011,88.64350128,87.3615036,67618000
4/12/2019,217,88.70050049,88.03450012,89.45449829,88.01100159,53402000
5/12/2019,218,88.17500305,87.02400208,88.17500305,87,56476000
6/12/2019,219,87.55999756,87.58000183,87.72000122,87.00650024,62348000
9/12/2019,220,87.53299713,87.47550201,88.34449768,87.28050232,48856000
10/12/2019,221,87.37000275,86.96050262,87.53350067,86.75,50286000
11/12/2019,222,87.08350372,87.43599701,87.5,86.78549957,41952000
12/12/2019,223,87.5,88.01650238,88.19999695,87.27200317,61918000
13/12/2019,224,88.25,88.04699707,88.44950104,87.75,54914000
16/12/2019,225,88.34999847,88.46050262,88.47499847,87.85250092,62904000
17/12/2019,226,88.90049744,89.53299713,89.59999847,88.86949921,72888000
18/12/2019,227,89.75099945,89.20149994,89.91000366,89.11799622,67028000
19/12/2019,228,89.02500153,89.61399841,89.64949799,88.70300293,53056000
20/12/2019,229,89.98100281,89.32499695,90.14849854,89.12249756,103016000
23/12/2019,230,89.41300201,89.65000153,89.65000153,89.22550201,42728000
24/12/2019,231,89.69049835,89.46050262,89.77850342,89.3789978,17626000
26/12/2019,232,90.05049896,93.43849945,93.52300262,89.97499847,120108000
27/12/2019,233,94.14600372,93.48999786,95.06999969,93.30049896,123732000
30/12/2019,234,93.69999695,92.34449768,94.19999695,92.03099823,73494000
31/12/2019,235,92.09999847,92.39199829,92.66300201,91.6115036,50130000
2/01/2020,236,93.75,94.90049744,94.90049744,93.20749664,80580000
3/01/2020,237,93.22499847,93.74849701,94.30999756,93.22499847,75288000
6/01/2020,238,93,95.14399719,95.18450165,93,81236000
7/01/2020,239,95.22499847,95.34300232,95.69450378,94.60199738,80898000
8/01/2020,240,94.90200043,94.59850311,95.55000305,94.3219986,70160000
9/01/2020,241,95.49449921,95.05249786,95.89099884,94.79000092,63346000
10/01/2020,242,95.26850128,94.15799713,95.34700012,94,57074000
13/01/2020,243,94.56549835,94.56500244,94.90000153,94.04000092,55616000
14/01/2020,244,94.29399872,93.47200012,94.35549927,92.92749786,68818000
15/01/2020,245,93.61250305,93.10099792,93.94300079,92.75450134,57932000
16/01/2020,246,94.14949799,93.89700317,94.27950287,93.3010025,53190000
17/01/2020,247,94.29450226,93.23600006,94.33200073,92.86250305,79946000
21/01/2020,248,93.25,94.59999847,94.71350098,93,74156000
22/01/2020,249,94.80449677,94.3730011,95.125,94.16699982,64326000
23/01/2020,250,94.25550079,94.22899628,94.49900055,93.63800049,49692000
24/01/2020,251,94.5684967,93.08200073,94.74949646,92.37200165,75324000
27/01/2020,252,91,91.41699982,92.05000305,90.76699829,70570000
28/01/2020,253,92.02500153,92.66249847,92.90550232,91.50099945,56160000
29/01/2020,254,93.19999695,92.90000153,93.73750305,92.75099945,41760000
30/01/2020,255,92.90000153,93.53399658,93.64350128,92.53050232,126548000
31/01/2020,256,102.5735016,100.435997,102.7860031,100.1135025,311346000
3/02/2020,257,100.5299988,100.2099991,102.4250031,100.0124969,117834000
4/02/2020,258,101.4940033,102.4834976,102.9899979,100.7685013,105786000
5/02/2020,259,103.5510025,101.9934998,103.5510025,101.5999985,87524000
6/02/2020,260,102.0510025,102.5114975,102.8150024,101.2399979,63660000
7/02/2020,261,102.0995026,103.9639969,104.9264984,101.9049988,101906000
10/02/2020,262,104.2505035,106.6955032,106.7799988,104.2480011,101124000
11/02/2020,263,107.5449982,107.5400009,109.2975006,106.8000031,114920000
12/02/2020,264,108.1600037,108,109.0124969,107.7645035,66686000
13/02/2020,265,107.2494965,107.4934998,108.5139999,107.0999985,60636000
14/02/2020,266,107.7839966,106.7434998,107.9520035,106.2945023,52124000
18/02/2020,267,106.2509995,107.7835007,108.3034973,106.2054977,58912000
19/02/2020,268,108.3899994,108.5110016,109.2549973,108.0559998,51224000
20/02/2020,269,108.6535034,107.6549988,108.8395004,106.3724976,62626000
21/02/2020,270,107.1074982,104.7985001,107.2275009,104.4000015,92926000
24/02/2020,271,100.1589966,100.4645004,101.9649963,99.39849854,130940000
25/02/2020,272,101.3209991,98.63700104,101.7300034,97.92099762,124382000
26/02/2020,273,98.51399994,98.97949982,100.7334976,98.02249908,104492000
27/02/2020,274,96.71900177,94.21499634,98.75,94.13800049,162880000
28/02/2020,275,90.73149872,94.1875,94.48799896,90.5565033,189620000
2/03/2020,276,95.32450104,97.69750214,97.72550201,93.5,135234000
3/03/2020,277,98.76850128,95.44950104,99.8164978,94.40450287,150690000
4/03/2020,278,97.32849884,98.79149628,98.90000153,96.09999847,95458000
5/03/2020,279,96.65000153,96.20149994,98.03600311,95.5,94964000
6/03/2020,280,93.75,95.05449677,95.54350281,93.47499847,105472000
9/03/2020,281,88.69300079,90.03050232,93.1384964,88.0644989,156264000
10/03/2020,282,93.54399872,94.59100342,94.71350098,90.90850067,142666000
11/03/2020,283,92.89250183,91.04299927,93.56600189,90.07499695,112496000
12/03/2020,284,86.09899902,83.83049774,88.25,83.75,226924000
13/03/2020,285,87.75,89.25,89.31549835,84.03099823,176194000
16/03/2020,286,82.07550049,84.45749664,87.97250366,81.30149841,178346000
17/03/2020,287,88.77349854,90.39199829,92.88899994,84.46199799,218342000
18/03/2020,288,87.5,91.5,92.08300018,87.25,192904000
19/03/2020,289,93,94.04650116,97.25,91.63249969,207998000
20/03/2020,290,96.31549835,92.30449677,97.84999847,91.03649902,196358000
23/03/2020,291,91.38749695,95.14150238,95.97000122,90.59999847,156170000
24/03/2020,292,97.57499695,97.00499725,97.75,95.01699829,142942000
25/03/2020,293,96.03450012,94.29199982,97.51300049,94.28900146,129582000
26/03/2020,294,95.09999847,97.77449799,97.82450104,94.46450043,124426000
27/03/2020,295,96.54299927,95.00499725,96.98950195,94.9960022,107758000
30/03/2020,296,96.14150238,98.19750214,98.6815033,95.61699677,122522000
31/03/2020,297,98.21749878,97.48600006,99.65100098,97.20050049,102472000
1/04/2020,298,96.64849854,95.38500214,97.2480011,94.65000153,82438000
2/04/2020,299,95.08200073,95.9414978,96.37650299,94.5,86720000
3/04/2020,300,95.55750275,95.32949829,96.3164978,94.45749664,72198000
6/04/2020,301,96.80000305,99.87950134,99.9260025,96.50099945,115464000
7/04/2020,302,100.8554993,100.5800018,101.7860031,99.8809967,102280000
8/04/2020,303,101.0500031,102.1500015,102.1999969,100.5575027,79546000
9/04/2020,304,102.2149963,102.1380005,102.6500015,100.8830032,92930000
13/04/2020,305,102,108.4434967,109,101.9000015,134334000
14/04/2020,306,110.0234985,114.1660004,114.5999985,109.3105011,161744000
15/04/2020,307,112.8840027,115.3840027,116.6685028,112.25,137332000
16/04/2020,308,117.3000031,120.4095001,123.0500031,116.75,240764000
17/04/2020,309,118.6165009,118.75,120,115.8010025,158600000
20/04/2020,310,119.4974976,119.6804962,122.2490005,119.3024979,115414000
21/04/2020,311,120.8304977,116.4059982,121.4154968,113.9830017,149534000
22/04/2020,312,118.4499969,118.1744995,119.6999969,117.5500031,84244000
23/04/2020,313,119.9990005,119.9725037,121.2109985,119.1039963,101332000
24/04/2020,314,120.8499985,120.5110016,121.0214996,119.0999985,76498000
27/04/2020,315,122.1600037,118.8000031,122.2440033,118.1500015,112912000
28/04/2020,316,118.6050034,115.7040024,118.6750031,115.3000031,105388000
29/04/2020,317,116.5005035,118.635498,119.5944977,115.5,91832000
30/04/2020,318,120.9919968,123.6999969,123.75,119.800499,190692000
1/05/2020,319,116.8399963,114.302002,118.1220016,112.9095001,195452000
4/05/2020,320,112.8190002,115.7994995,116.348999,112.8190002,97318000
5/05/2020,321,117,115.8899994,117.5500031,115.3564987,64850000
6/05/2020,322,116.4720001,117.5630035,117.8724976,116,62356000
7/05/2020,323,118.7389984,118.3805008,118.8000031,117.1555023,67928000
8/05/2020,324,118.6070023,118.9804993,119.3619995,117.8499985,64132000
11/05/2020,325,118.7350006,120.4499969,120.9834976,118.6054993,65184000
12/05/2020,326,120.5924988,117.8475037,120.9499969,117.75,61498000
13/05/2020,327,118.3399963,118.3960037,120.3850021,116.8899994,95658000
14/05/2020,328,118.050499,119.4424973,119.5684967,117.6604996,72962000
15/05/2020,329,118.4260025,120.4889984,120.5500031,117.8184967,84700000
